id,name,value,session_id,data_set_id
900,timeTaken,22.25974894,i1826,
901,buttonPressed,submit,i1870,
902,email_address,,i1870,
903,isTimeout,0,i1870,
904,postcode,3352,i1870,
905,timeTaken,10.94623494,i1870,
906,buttonPressed,submit,i1856,
907,email_address,,i1856,
908,isTimeout,0,i1856,
909,postcode,,i1856,
910,timeTaken,15.87842393,i1856,
911,buttonPressed,submit,i1879,
912,email_address,,i1879,
913,isTimeout,0,i1879,
914,postcode,,i1879,
915,timeTaken,12.71793413,i1879,
916,buttonPressed,submit,i1888,
917,email_address,,i1888,
918,isTimeout,0,i1888,
919,postcode,4870,i1888,
920,timeTaken,21.30574417,i1888,
921,buttonPressed,submit,i1902,
922,email_address,,i1902,
923,isTimeout,0,i1902,
924,postcode,,i1902,
925,timeTaken,5.093355894,i1902,
926,buttonPressed,submit,i1904,
927,email_address,,i1904,
928,isTimeout,0,i1904,
929,postcode,2131,i1904,
930,timeTaken,11.04971695,i1904,
931,buttonPressed,submit,i1903,
932,email_address,,i1903,
933,isTimeout,0,i1903,
934,postcode,4006,i1903,
935,timeTaken,25.39096594,i1903,
