id,age,gender,nationality,device,colour,number,animal,userid,lastletter,firstletter,session
838,31,m,au,iphone,,0,,31mauiphone,,,
839,28,m,au,laptop,,0,,28maulaptop,,,
840,21,m,au,laptop,,0,,21maulaptop,,,
841,31,m,au,pc,,0,,31maupc,,,
842,19,m,au,galaxy,,0,,19maugalaxy,,,
843,19,f,au,laptop,,0,,19faulaptop,,,
844,21,f,au,iphone,,0,,21fauiphone,,,
845,34,f,au,laptop,,0,,34faulaptop,,,
846,37,f,au,ipad,,0,,37fauipad,,,
847,22,o,au,laptop,,0,,22oaulaptop,,,
848,18,f,eu,galaxy,,0,,18feugalaxy,,,
849,25,f,au,laptop,,0,,25faulaptop,,,
850,31,m,au,pc,,0,,31maupc,,,
851,23,pnts,au,galaxy,,0,,23pntsaugalaxy,,,
852,21,m,oc,galaxy,,0,,21mocgalaxy,,,
853,65,o,au,pc,,0,,65oaupc,,,
854,63,m,nz,pc,,0,,63mnzpc,,,
855,24,m,au,laptop,,0,,24maulaptop,,,
856,24,f,au,galaxy,,0,,24faugalaxy,,,
857,55,f,au,pc,,0,,55faupc,,,
858,18,f,au,laptop,,0,,18faulaptop,,,
859,29,m,au,laptop,,0,,29maulaptop,,,
860,37,f,au,iphone,,0,,37fauiphone,,,
861,19,f,eu,otherphone,,0,,19feuotherphone,,,
862,18,m,au,pixel,,0,,18maupixel,,,
863,19,f,au,iphone,,0,,19fauiphone,,,
864,39,m,au,pixel,,0,,39maupixel,,,
865,28,o,eu,ipad,,0,,28oeuipad,,,
866,21,m,au,pc,,0,,21maupc,,,
867,23,m,au,laptop,,0,,23maulaptop,,,
868,18,m,au,galaxy,,0,,18maugalaxy,,,
869,35,m,au,pc,,0,,35maupc,,,
870,18,f,au,iphone,,0,,18fauiphone,,,
871,34,m,au,pc,,0,,34maupc,,,
872,31,f,au,laptop,,0,,31faulaptop,,,
873,18,f,au,laptop,,0,,18faulaptop,,,
874,35,m,au,pc,,0,,35maupc,,,
875,18,m,au,galaxy,,0,,18maugalaxy,,,
876,31,f,au,pc,,0,,31faupc,,,
877,32,m,au,otherphone,,0,,32mauotherphone,,,
878,38,m,au,ipad,,0,,38mauipad,,,
879,35,m,au,galaxy,,0,,35maugalaxy,,,
880,23,f,au,iphone,,0,,23fauiphone,,,
881,24,m,au,pc,,0,,24maupc,,,
882,90,pnts,nz,pnts,,0,,90pntsnzpnts,,,
883,19,m,au,laptop,,0,,19maulaptop,,,
884,24,f,au,iphone,,0,,24fauiphone,,,
885,20,m,au,laptop,,0,,20maulaptop,,,
886,24,f,au,pc,,0,,24faupc,,,
887,21,f,au,laptop,,0,,21faulaptop,,,
888,35,m,au,laptop,,0,,35maulaptop,,,
889,21,f,au,iphone,,0,,21fauiphone,,,
890,35,m,au,pnts,,0,,35maupnts,,,
891,18,m,eu,iphone,,0,,18meuiphone,,,
892,32,m,au,pc,,0,,32maupc,,,
893,23,o,au,iphone,,0,,23oauiphone,,,
894,35,m,au,galaxy,,0,,35maugalaxy,,,
895,35,m,au,galaxy,,0,,35maugalaxy,,,
896,35,m,au,galaxy,,0,,35maugalaxy,,,
897,23,m,au,pc,,0,,23maupc,,,
898,21,m,au,galaxy,,0,,21maugalaxy,,,
899,36,f,au,laptop,,0,,36faulaptop,,,
900,21,f,au,iphone,,0,,21fauiphone,,,
901,40,f,au,laptop,,0,,40faulaptop,,,
902,31,m,au,galaxy,,0,,31maugalaxy,,,
903,38,m,au,galaxy,,0,,38maugalaxy,,,
904,29,f,au,pc,,0,,29faupc,,,
905,22,f,au,iphone,,0,,22fauiphone,,,
906,22,m,au,pc,,0,,22maupc,,,
907,31,m,au,ipad,,0,,31mauipad,,,
908,18,f,eu,laptop,,0,,18feulaptop,,,
909,52,f,au,ipad,,0,,52fauipad,,,
910,18,f,au,laptop,,0,,18faulaptop,,,
911,32,m,au,otherphone,,0,,32mauotherphone,,,
912,18,m,au,iphone,,0,,18mauiphone,,,
913,23,m,au,pc,,0,,23maupc,,,
914,24,o,pnts,pc,,0,,24opntspc,,,
915,31,m,au,pc,,0,,31maupc8580,,,
916,30,f,au,laptop,,0,,30faulaptop,,,
917,30,m,au,pc,,0,,30maupc4870,,,
918,31,f,au,iphone,,0,,31fauiphone7119,,,
919,22,m,au,galaxy,,0,,22maugalaxy378,,,
920,28,f,au,iphone,,0,,28fauiphone9560,,,
921,35,m,au,pc,,0,,35maupc2092,,,
922,33,m,au,pc,,0,,33maupc471,,,
923,20,m,au,laptop,,0,,20maulaptop1966,,,
924,29,m,au,pc,,0,,29maupc8135,,,
925,28,m,au,pc,,0,,28maupc2470,,,
926,24,m,au,galaxy,,0,,24maugalaxy540,,,
927,23,m,au,iphone,,0,,23mauiphone8536,,,
928,21,f,au,iphone,,0,,21fauiphone1890,,,
929,39,m,au,galaxy,,0,,39maugalaxy2720,,,
930,37,m,au,laptop,,0,,37maulaptop9425,,,
931,33,m,au,pc,,0,,33maupc8439,,,
932,73,f,eu,laptop,,0,,73feulaptop1272,,,
933,23,m,au,galaxy,,0,,23maugalaxy8363,,,
934,33,m,au,pc,,0,,33maupc5810,,,
935,33,m,au,pc,,0,,33maupc9826,,,
936,22,m,au,pc,,0,,22maupc9863,,,
937,27,m,eu,pc,,0,,27meupc615,,,
938,32,m,au,otherphone,,0,,32mauotherphone9058,,,
939,38,o,nz,otherphone,,0,,38onzotherphone6562,,,
940,34,f,au,pc,,0,,34faupc6311,,,
941,30,m,au,iphone,,0,,30mauiphone9378,,,
942,32,f,au,iphone,,0,,32fauiphone4324,,,
943,21,m,au,pixel,,0,,21maupixel9201,,,
944,19,m,au,laptop,,0,,19maulaptop9357,,,
945,20,m,au,pc,,0,,20maupc4825,,,
946,22,m,au,laptop,,0,,22maulaptop4918,,,
947,22,m,au,galaxy,,0,,22maugalaxy9947,,,
948,18,m,au,iphone,,0,,18mauiphone9345,,,
949,36,m,na,laptop,,0,,36mnalaptop8111,,,
950,28,f,au,laptop,,0,,28faulaptop871,,,
951,29,f,au,laptop,,0,,29faulaptop1909,,,
952,59,f,au,galaxy,,0,,59faugalaxy9528,,,
953,54,m,au,pc,,0,,54maupc7197,,,
954,29,f,au,pc,,0,,29faupc2360,,,
955,17,f,au,laptop,,0,,17faulaptop304,,,
